11.32,0.88,13.1,0.97,1.74
-0.71,-1.49,-0.21,-0.95,1.74
-4.6,-1.83,-1.99,-9.34,2.615
-5.84,-1.52,-0.66,-1.68,5.16
23.69,17.14,25.16,17.11,1.74
7.02,-1.13,8.89,-1.05,1.84
8.07,-1.26,7.99,-1.89,1.74
11.41,-4.14,14.76,-4.01,3.2
28.66,9.7,30.27,9.74,1.74
19.96,2.72,20.97,2.03,2.52
4.43,-3.78,4.45,-2.08,5.15
19.04,0.74,17.4,0.43,1.74
17.08,-0.55,18.29,-1.29,2.615
10.82,-0.34,10.84,-1.38,3.2
13.29,-0.83,11.41,-0.89,1.685
